OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31211,2024-038J,2026-01-27T15:24:45.696384,15.27581426,.0001425,43.0010,258.5636,289.1391,70.9306,0,U,59031,999,10837,.10166E-3,.2536E-4,0
STARLINK-30862,2024-038K,2026-01-27T14:59:06.596160,15.27576559,.0000652,42.9999,248.0886,268.5082,91.5695,0,U,59032,999,10849,.35961E-4,.728E-5,0
STARLINK-31210,2024-038L,2026-01-27T16:02:28.417344,15.27575144,.0000988,43.0004,255.3116,275.8803,84.1936,0,U,59033,999,10858,.25349E-4,.436E-5,0
STARLINK-31231,2024-038M,2026-01-27T15:56:55.867200,15.27571255,.000207,43.0064,255.2812,271.1089,88.9525,0,U,59034,999,10841,-.14198E-5,-.302E-5,0
STARLINK-31207,2024-038N,2026-01-27T15:51:22.082400,15.27578658,.0000732,42.9993,255.2519,285.8430,74.2341,0,U,59035,999,10858,.38365E-4,.794E-5,0
STARLINK-31217,2024-038P,2026-01-27T18:41:36.900384,15.27609291,.000078,43.0016,160.2635,256.7825,103.2939,0,U,59036,999,10968,-.16978E-3,-.4935E-4,0
STARLINK-31208,2024-038Q,2026-01-27T15:15:42.806304,15.27588164,.0002025,43.0031,259.3432,290.9360,69.1275,0,U,59037,999,10853,.72641E-4,.1737E-4,0
STARLINK-31235,2024-038R,2026-01-27T15:47:38.976864,15.27595974,.0001273,42.9988,255.2310,276.0399,84.0307,0,U,59038,999,10852,-.22657E-3,-.6494E-4,0
STARLINK-31220,2024-038S,2026-01-27T15:50:39.615936,15.27579337,.0001061,42.9971,258.6896,276.5327,83.5404,0,U,59039,999,10848,-.34996E-5,-.358E-5,0
STARLINK-31225,2024-038T,2026-01-27T15:27:18.526752,15.27562141,.000182,43.0004,255.0867,276.4945,83.5699,0,U,59040,999,10841,-.93848E-4,-.2842E-4,0
STARLINK-31240,2024-038U,2026-01-27T16:22:49.790208,15.27578582,.0002001,43.0053,255.4205,268.9812,91.0810,0,U,59041,999,10852,.46012E-5,-.136E-5,0
STARLINK-31202,2024-038V,2026-01-27T16:28:09.630912,15.27587449,.000107,43.0017,254.5921,238.9746,121.1001,0,U,59042,999,10859,.36206E-4,.735E-5,0
